"%s added to the exclude list","%s toegevoegd aan lijst met uitzonderingen"
"%s allready unsubscribed","%s reeds uitgeschreven"
"%s is on exclude list (%s on %s)","%s staat op de lijst met uitzonderingen (%s on %s)"
"%s not found!","%s niet gevonden!"
"%s removed from exclude list","%s verwijderd van lijst met uitzonderingen"
"%s successfully unsubscribed from service email messages","%s succesvol uitgeschreven voor nieuwsbrief"
"A new review for ""%s"" has been submitted. %s","Een nieuwe beoordeling voor ""%s"" is verstuurd. %s"
"Add Block to Order View","Voeg blok toe aan orderpagina"
"Add Notification Toolbar","Voeg notificatie werkbalk toe"
"Add Unsubscribe link","Voeg afmeld-link toe"
"Add back to que","Voeg weer toe aan rij"
"Add from que","Voeg toe vanuit rij"
"Add review to bundle parent","Voeg beoordeling toe aan bovenliggend product van bundel"
"Add review to group parent","Voeg beoordeling toe aan bovenliggend product van groep"
"Add to exclude list","Voeg toe aan lijst met uitzonderingen"
"Add to que","Voeg toe aan de rij"
"Added through admin","Toegevoegd via admin"
"Admin Settings","Admin Instellingen"
"After approved review (by email)","Na goedgekeurde beoordeling (via email)"
"After placing review (on page)","Na plaatsen van een beoordeling (op pagina)"
"Alphabetical","Alphabetische volgorde"
"Alphanumeric","Numerieke volgorde"
"Are you sure?","Weet je het zeker?"
"Ask for a general shop review in the same form by integrating the shopreview extension with the product review reminder. This way, you can let your customers write both shop reviews and product reviews in the same form. Check out our shopreview extension right <a href=""http://www.magmodules.eu/shopreview.html"" target=""_blank"">here.</a><br><br>","Vraag om een algemene winkelbeoordeling op dezelfde manier door de winkelbeoordeling extensie te integreren met een herinnering om producten te beoordelen. Op deze manier, kunt u klanten zowel winkel- als productbeoordelingen laten schrijven op hetzelfde formulier. Voor meer informatie over onze winkelbeoordeling extensie, ga naar <a href=""http://www.magmodules.eu/shopreview.html"" target=""_blank"">hier.</a><br><br>"
"At least one product review is required","Er is minimaal 1 productbeoordeling vereist"
"Check if the first and second e-mail reminders suit your needs by sending a test email. Before you hit the send button, ensure that you have saved the config after filling in a valid order number and email address.<br><br>","Kijk of de eerste en tweede e-mail herinnering aan uw eisen voldoen, door een test e-mail te sturen. Voordat u op verzenden klikt, zorgt u dan dat de instelingen opslaat na het invullen van een geldig order-nummer en e-mail adres.<br><br>"
"Choose the general configuration admin settings, different product types, cronjob, and email sender. You can select these options for each specific store view.","Kies de algemene configuratie admin instellingen, verschillende product types, cronjob, en e-mail verzender. U kan deze opties selecteren in winkelzicht niveau."
"Code","Code"
"Configuration","Configuratie"
"Coupon Code","Coupon Code"
"Coupon Description","Coupon Beschrijving"
"Coupon ID","Coupon ID"
"Coupon Intro","Coupon Introductie"
"Coupon: %s (Valid until: %s)","Coupon: %s (Geldig tot: %s)"
"Coupons","Coupons"
